Symbol	Name	Morningstar Category	NAV Return	NAV Return	Minimum Investment	Net Expense Ratio	No Transaction Fees	Morningstar Rating
HAFCX	 Hartford Balanced C	 Allocation--50% to 70% Equity	 +6.55%	 +8.78%	" $2,000"	 1.84%	  	3
HAFFX	 Harbor Target Retirement 2050 Instl	 Target-Date 2050	 +12.30%	 +18.62%	" $1,000"	 0.77%	  	3
HCKCX	 Hartford Checks and Balances C	 Allocation--50% to 70% Equity	 +7.17%	 +12.09%	" $2,000"	 1.75%	  	3
HDVCX	 Hartford International Equity C	 Foreign Large Blend	 +15.45%	 +19.76%	" $2,000"	 1.87%	  	3
HDVRX	 Hartford International Equity R3	 Foreign Large Blend	 +15.73%	 +20.15%	 $0	 1.42%	  	3
HEQFX	 Henssler Equity Investor	 Large Blend	 +2.38%	 +12.13%	" $2,000"	 1.48%	 NTF	3
HERCX	 Hartford Emerging Markets Equity C	 Diversified Emerging Mkts	 +21.45%	 +25.75%	" $2,000"	 2.21%	  	3
HERRX	 Hartford Emerging Markets Equity R3	 Diversified Emerging Mkts	 +21.79%	 +26.56%	 $0	 1.71%	  	3
HHHCX	 Hartford Schroders Emerging Mkts Eq C	 Diversified Emerging Mkts	 +19.83%	 +25.05%	" $2,000"	 2.20%	  	3
HISIX	 Homestead International Equity	 Foreign Large Blend	 +16.62%	 +18.60%	 $500	 0.99%	 NTF	3
HMVJX	 Hartford MidCap Value I	 Mid-Cap Blend	 +3.56%	 +15.56%	" $2,000"	 1.04%	  	3
HMVSX	 Hartford MidCap Value R4	 Mid-Cap Blend	 +3.48%	 +15.40%	 $0	 1.24%	  	3
HMVTX	 Hartford MidCap Value R5	 Mid-Cap Blend	 +3.65%	 +15.78%	 $0	 0.94%	  	3
HSEIX	 Hartford Small Cap Core I	 Small Blend	 +1.84%	 +19.82%	" $2,000"	 1.10%	  	3
HSMAX	 Hartford Small Cap Core A	 Small Blend	 +1.68%	 +19.45%	" $2,000"	 1.40%	 NTF	3
HSTIX	 Homestead Stock Index	 Large Blend	 +9.06%	 +17.25%	 $500	 0.58%	 NTF	3
HSWCX	 Hartford Schroders International Stk C	 Foreign Large Blend	 +15.78%	 +18.16%	" $2,000"	 1.95%	  	3
HSWRX	 Hartford Schroders International Stk R3	 Foreign Large Blend	 +16.17%	 +18.83%	 $0	 1.50%	  	3
HTAAX	 Highland Total Return A	 Allocation--50% to 70% Equity	 +7.42%	 +16.69%	" $1,000"	 1.37%	  	3
HTAYX	 Highland Total Return Y	 Allocation--50% to 70% Equity	 +7.53%	 +16.96%	 $0	 1.12%	  	3
IAAAX	 Transamerica Asset Allocation Growth A	 Allocation--85%+ Equity	 +10.12%	 +17.32%	" $1,000"	 1.45%	  	3
IACLX	 Voya Corporate Leaders 100 A	 Large Blend	 +7.33%	 +16.57%	" $1,000"	 0.81%	 NTF	3
IAGAX	 Voya Solution Moderately Agrsv Port A	 Allocation--70% to 85% Equity	 +8.52%	 +14.11%	 $0	 1.38%	  	3
IAGIX	 Voya Solution Moderately Agrsv Port I	 Allocation--70% to 85% Equity	 +8.79%	 +14.66%	 $0	 0.88%	  	3
IAGSX	 Voya Solution Moderately Agrsv Port S	 Allocation--70% to 85% Equity	 +8.71%	 +14.41%	 $0	 1.13%	  	3
IAGTX	 Voya Solution Moderately Agrsv Port S2	 Allocation--70% to 85% Equity	 +8.63%	 +14.20%	 $0	 1.28%	  	3
IAVAX	 Voya Solution Aggressive A	 Allocation--85%+ Equity	 +10.15%	 +17.10%	 $0	 1.39%	  	3
IAVIX	 Voya Solution Aggressive I	 Allocation--85%+ Equity	 +10.38%	 +17.63%	 $0	 0.89%	  	3
IAVSX	 Voya Solution Aggressive S	 Allocation--85%+ Equity	 +10.31%	 +17.46%	 $0	 1.14%	  	3
IAVTX	 Voya Solution Aggressive S2	 Allocation--85%+ Equity	 +10.16%	 +17.19%	 $0	 1.29%	  	3
IBBFX	 Thrivent Balanced Income Plus S	 Allocation--50% to 70% Equity	 +6.06%	 +9.91%	" $2,000"	 0.74%	  	3
IBNAX	 Ivy Balanced A	 Allocation--50% to 70% Equity	 +5.92%	 +8.24%	 $750	 1.11%	 NTF	3
IBNBX	 Ivy Balanced B	 Allocation--50% to 70% Equity	 +5.52%	 +7.46%	 $750	 1.84%	  	3
IBNCX	 Ivy Balanced C	 Allocation--50% to 70% Equity	 +5.55%	 +7.55%	 $750	 1.80%	  	3
IBNYX	 Ivy Balanced Y	 Allocation--50% to 70% Equity	 +5.91%	 +8.29%	 $0	 1.10%	  	3
ICCLX	 Voya Corporate Leaders 100 C	 Large Blend	 +7.05%	 +15.95%	" $1,000"	 1.43%	  	3
ICETX	 MainStay Epoch International Choice R1	 Foreign Large Blend	 +17.30%	 +22.57%	 $0	 1.09%	  	3
ICEYX	 MainStay Epoch International Choice R2	 Foreign Large Blend	 +17.17%	 +22.31%	 $0	 1.34%	  	3
ICEZX	 MainStay Epoch International Choice R3	 Foreign Large Blend	 +16.95%	 +21.91%	 $0	 1.59%	  	3
ICLAX	 Transamerica Asset Allocation Cnsrv A	 Allocation--30% to 50% Equity	 +5.41%	 +7.56%	" $1,000"	 1.22%	  	3
ICVRX	 Transamerica Asset Allocation Cnsrv R	 Allocation--30% to 50% Equity	 +5.23%	 +7.13%	 $0	 1.60%	  	3
IDMOX	 Voya Mid Cap Research Enhanced Index O	 Mid-Cap Blend	 +5.30%	 +17.31%	" $1,000"	 1.00%	  	3
IDXAX	 Voya Index Solution 2020 Port ADV	 Target-Date 2020	 +5.74%	 +8.35%	 $0	 0.89%	  	3
IDXBX	 Voya Index Solution 2020 Port I	 Target-Date 2020	 +6.03%	 +8.91%	 $0	 0.39%	  	3
IDXCX	 Voya Index Solution 2020 Port S	 Target-Date 2020	 +5.88%	 +8.65%	 $0	 0.64%	  	3
IDXDX	 Voya Index Solution 2020 Port S2	 Target-Date 2020	 +5.82%	 +8.51%	 $0	 0.79%	  	3
IDXFX	 Voya Index Solution 2030 Port ADV	 Target-Date 2030	 +7.87%	 +12.34%	 $0	 0.89%	  	3
IDXHX	 Voya Index Solution 2030 Port S	 Target-Date 2030	 +7.96%	 +12.65%	 $0	 0.64%	  	3
IDXIX	 Voya Index Solution 2030 Port S2	 Target-Date 2030	 +7.90%	 +12.47%	 $0	 0.79%	  	3
IEMAX	 Invesco Emerging Markets Equity A	 Diversified Emerging Mkts	 +20.69%	 +21.17%	" $1,000"	 1.34%	  	3
IEMHX	 Voya Multi-Manager Emerging Markets Eq A	 Diversified Emerging Mkts	 +22.28%	 +26.65%	" $1,000"	 1.59%	 NTF	3
IEMLX	 Voya Multi-Manager Emerging Markets Eq W	 Diversified Emerging Mkts	 +22.39%	 +26.96%	" $1,000"	 1.34%	  	3
IEMYX	 Invesco Emerging Markets Equity Y	 Diversified Emerging Mkts	 +20.81%	 +21.59%	" $1,000"	 1.09%	  	3
IGAIX	 American Funds Intl Gr and Inc Fd F3	 Foreign Large Blend	 +14.77%	 +18.07%	 $250	 0.60%	  	3
IGFFX	 American Funds Intl Gr and Inc F2	 Foreign Large Blend	 +14.74%	 +18.04%	 $250	 0.70%	  	3
IGIFX	 American Funds Intl Gr and Inc F1 	 Foreign Large Blend	 +14.60%	 +17.74%	 $250	 0.96%	 NTF	3
IGTAX	 Transamerica Dynamic Income A	 Allocation--15% to 30% Equity	 +4.16%	 +2.88%	" $1,000"	 1.30%	  	3
IGTTX	 Transamerica Dynamic Income T1	 Allocation--15% to 30% Equity	 +4.17%	 +2.89%	" $1,000"	 1.30%	  	3
IGTVX	 Transamerica Dynamic Income Advisor	 Allocation--15% to 30% Equity	 +4.28%	 +3.12%	" $1,000"	 1.08%	  	3
IGWRX	 Transamerica Asset Allocation Growth R	 Allocation--85%+ Equity	 +9.98%	 +16.96%	 $0	 1.78%	  	3
IIMDX	 Voya Strategic Allocation Mod Port I	 Allocation--50% to 70% Equity	 +6.91%	 +11.30%	 $0	 0.75%	  	3
IIRGX	 Voya Retirement Growth Port I	 Allocation--70% to 85% Equity	 +8.19%	 +13.21%	 $0	 0.64%	  	3
IISPX	 Voya Solution 2055 Port I	 Target-Date 2055	 +10.23%	 +16.90%	 $0	 0.86%	  	3
IMDRX	 Transamerica Asset Allocation Mod R	 Allocation--30% to 50% Equity	 +6.50%	 +9.63%	 $0	 1.51%	  	3
IMGRX	 Transamerica Asset Allocation Mod Gr R	 Allocation--50% to 70% Equity	 +8.05%	 +12.94%	 $0	 1.62%	  	3
IMLAX	 Transamerica Asset Allocation Mod Gr A	 Allocation--50% to 70% Equity	 +8.26%	 +13.24%	" $1,000"	 1.33%	  	3
IMOLX	 Transamerica Asset Allocation Mod C	 Allocation--30% to 50% Equity	 +6.22%	 +9.12%	" $1,000"	 1.99%	  	3
INPDX	 American Funds Income Portfolio F3	 Allocation--50% to 70% Equity	 +5.88%	 +8.59%	 $250	 0.32%	  	3
INPEX	 American Funds Income Portfolio F2	 Allocation--50% to 70% Equity	 +5.73%	 +8.51%	 $250	 0.43%	  	3
INPFX	 American Funds Income Portfolio F1	 Allocation--50% to 70% Equity	 +5.61%	 +8.23%	 $250	 0.69%	 NTF	3
IOBZX	 ICON Bond S	 Corporate Bond	 +3.08%	 +4.45%	" $1,000"	 0.85%	 NTF	3
IOCLX	 Voya Corporate Leaders 100 O	 Large Blend	 +7.29%	 +16.53%	" $1,000"	 0.90%	  	3
IOECX	 ICON Equity Income C	 Allocation--85%+ Equity	 +5.78%	 +16.02%	" $1,000"	 2.19%	  	3
IRCAX	 Voya Retirement Conservative Port A	 Allocation--15% to 30% Equity	 +3.82%	 +3.96%	 $0	 0.91%	  	3
IRCLX	 Voya Corporate Leaders 100 R	 Large Blend	 +7.16%	 +16.22%	 $0	 1.15%	  	3
IRCPX	 Voya Retirement Conservative Port I	 Allocation--15% to 30% Equity	 +3.76%	 +4.14%	 $0	 0.66%	  	3
IRGMX	 Voya Retirement Moderate Growth Port I	 Allocation--50% to 70% Equity	 +7.31%	 +11.24%	 $0	 0.64%	  	3
IRMGX	 Voya Retirement Moderate Growth Port A	 Allocation--50% to 70% Equity	 +7.11%	 +10.84%	 $0	 1.03%	  	3
IRMIX	 Voya Retirement Moderate Port I	 Allocation--30% to 50% Equity	 +6.01%	 +8.31%	 $0	 0.66%	  	3
IRMPX	 Voya Retirement Moderate Port A	 Allocation--30% to 50% Equity	 +5.81%	 +7.98%	 $0	 1.00%	  	3
ISAGX	 Voya Strategic Allocation Growth Port I	 Allocation--70% to 85% Equity	 +8.54%	 +14.15%	 $0	 0.77%	  	3
ISCOX	 Voya Small Company O	 Small Blend	 +3.00%	 +20.89%	" $1,000"	 1.36%	  	3
ISCWX	 Voya Multi-Manager International Sm Cp W	 Foreign Small/Mid Blend	 +18.96%	 +23.30%	" $1,000"	 1.30%	  	3
ISFCX	 Lord Abbett Multi-Asset Income C	 Allocation--30% to 50% Equity	 +4.19%	 +9.77%	" $1,500"	 1.90%	  	3
ISGAX	 Voya Solution Balanced Port A	 Allocation--50% to 70% Equity	 +6.95%	 +11.44%	 $0	 1.30%	  	3
ISGJX	 Voya Solution Balanced Port I	 Allocation--50% to 70% Equity	 +7.23%	 +11.99%	 $0	 0.80%	  	3
ISGKX	 Voya Solution Balanced Port S	 Allocation--50% to 70% Equity	 +7.19%	 +11.74%	 $0	 1.05%	  	3
ISGRX	 Voya Strategic Allocation Growth Port S	 Allocation--70% to 85% Equity	 +8.46%	 +13.94%	 $0	 1.02%	  	3
ISGTX	 Voya Solution Balanced Port S2	 Allocation--50% to 70% Equity	 +7.10%	 +11.52%	 $0	 1.20%	  	3
ISMDX	 Voya Strategic Allocation Mod Port S	 Allocation--50% to 70% Equity	 +6.83%	 +11.08%	 $0	 1.00%	  	3
ISNAX	 Voya Solution 2020 Port ADV	 Target-Date 2020	 +6.26%	 +9.26%	 $0	 1.22%	  	3
ISNCX	 Voya Solution 2020 Port S	 Target-Date 2020	 +6.41%	 +9.52%	 $0	 0.97%	  	3
ISNDX	 Voya Solution 2020 Port S2	 Target-Date 2020	 +6.30%	 +9.35%	 $0	 1.12%	  	3
ISNEX	 Voya Solution 2020 Port T	 Target-Date 2020	 +6.17%	 +9.03%	 $0	 1.42%	  	3
ISNFX	 Voya Solution 2030 Port ADV	 Target-Date 2030	 +8.32%	 +13.29%	 $0	 1.29%	  	3
ISNIX	 Voya Solution 2030 Port S2	 Target-Date 2030	 +8.42%	 +13.41%	 $0	 1.19%	  	3
ISNJX	 Voya Solution 2030 Port T	 Target-Date 2030	 +8.23%	 +13.07%	 $0	 1.49%	  	3
ISNKX	 Voya Solution 2040 Port ADV	 Target-Date 2040	 +9.69%	 +15.79%	 $0	 1.33%	  	3
ISNMX	 Voya Solution 2040 Port S	 Target-Date 2040	 +9.81%	 +16.10%	 $0	 1.08%	  	3
ISNNX	 Voya Solution 2040 Port S2	 Target-Date 2040	 +9.71%	 +15.91%	 $0	 1.23%	  	3
ISNOX	 Voya Solution 2040 Port T	 Target-Date 2040	 +9.64%	 +15.59%	 $0	 1.53%	  	3
ISNPX	 Voya Solution 2050 Port ADV	 Target-Date 2050	 +9.95%	 +16.26%	 $0	 1.36%	  	3
ISNRX	 Voya Solution 2050 Port S	 Target-Date 2050	 +10.13%	 +16.61%	 $0	 1.11%	  	3
ISNSX	 Voya Solution 2050 Port S2	 Target-Date 2050	 +10.04%	 +16.33%	 $0	 1.26%	  	3
ISNTX	 Voya Solution 2050 Port T	 Target-Date 2050	 +9.93%	 +16.05%	 $0	 1.56%	  	3
ISPDX	 Voya Solution 2045 Port S2	 Target-Date 2045	 +9.90%	 +16.17%	 $0	 1.26%	  	3
ISPGX	 Voya Solution Moderately Cnsrv Port A	 Allocation--30% to 50% Equity	 +4.98%	 +7.73%	 $0	 1.24%	  	3
ISPSX	 Voya Solution Moderately Cnsrv Port S	 Allocation--30% to 50% Equity	 +5.08%	 +7.93%	 $0	 0.99%	  	3
ISPTX	 Voya Solution Moderately Cnsrv Port S2	 Allocation--30% to 50% Equity	 +5.03%	 +7.81%	 $0	 1.14%	  	3
ISRIX	 Voya Solution 2045 Port I	 Target-Date 2045	 +10.07%	 +16.66%	 $0	 0.86%	  	3
ISRSX	 Voya Solution 2045 Port S	 Target-Date 2045	 +10.03%	 +16.45%	 $0	 1.11%	  	3
ISSPX	 Voya Solution 2055 Port S	 Target-Date 2055	 +10.10%	 +16.64%	 $0	 1.11%	  	3
ITHIX	 Hartford Capital Appreciation I	 Large Blend	 +13.05%	 +20.35%	" $2,000"	 0.79%	  	3
ITHTX	 Hartford Capital Appreciation R5	 Large Blend	 +13.08%	 +20.37%	 $0	 0.80%	  	3
ITHVX	 Hartford Capital Appreciation R6	 Large Blend	 +13.11%	 +20.48%	 $0	 0.70%	  	3
IUCEX	 JPMorgan International Uncons Eq C	 Foreign Large Blend	 +15.76%	 +19.67%	" $1,000"	 1.75%	  	3
IUERX	 JPMorgan International Uncons Eq R2	 Foreign Large Blend	 +15.93%	 +20.00%	 $0	 1.50%	  	3
IVTBX	 Ivy Managed Intl Opportunities B	 Foreign Large Blend	 +13.15%	 +19.12%	 $750	 2.46%	  	3
IVTCX	 Ivy Managed Intl Opportunities C	 Foreign Large Blend	 +13.22%	 +19.27%	 $750	 2.33%	  	3
IWCLX	 Voya Corporate Leaders 100 W	 Large Blend	 +7.43%	 +16.83%	" $1,000"	 0.56%	  	3
IYSBX	 Ivy Small Cap Core B	 Small Blend	 +4.20%	 +20.47%	 $750	 2.44%	  	3
JALAX	 JHancock Multimanager Lifestyle Agrsv A	 Allocation--85%+ Equity	 +11.55%	 +19.10%	" $1,000"	 1.41%	 NTF	3
JALBX	 JHancock Multimanager Lifestyle Bal A	 Allocation--50% to 70% Equity	 +7.88%	 +12.62%	" $1,000"	 1.33%	 NTF	3
JALGX	 JHancock Multimanager Lifestyle Gr A	 Allocation--70% to 85% Equity	 +9.75%	 +16.00%	" $1,000"	 1.36%	 NTF	3
JALMX	 JHancock Multimanager Lifestyle Mod A	 Allocation--30% to 50% Equity	 +5.89%	 +8.81%	" $1,000"	 1.28%	 NTF	3
JBRSX	 JPMorgan SmartRetirementÂ® Blend 2025 R2	 Target-Date 2025	 +7.25%	 +10.35%	 $0	 1.04%	  	3
JCLCX	 JHancock Multimanager Lifestyle Cnsrv C	 Allocation--15% to 30% Equity	 +3.82%	 +4.56%	" $1,000"	 1.97%	  	3
JCSVX	 JHancock Small Company R5	 Small Blend	 +4.68%	 +18.96%	 $0	 1.11%	  	3
JDARX	 Prudential Conservative Allocation R	 Allocation--30% to 50% Equity	 +5.18%	 +7.92%	 $0	 1.59%	  	3
JDEAX	 JPMorgan Disciplined Equity A	 Large Blend	 +9.00%	 +18.52%	" $1,000"	 0.60%	 NTF	3
JDVAX	 JPMorgan Diversified A	 Allocation--50% to 70% Equity	 +8.36%	 +12.72%	" $1,000"	 1.28%	 NTF	3
JDVCX	 JPMorgan Diversified C	 Allocation--50% to 70% Equity	 +8.07%	 +12.16%	" $1,000"	 1.79%	  	3
JEIAX	 JPMorgan International Equity Income A	 Foreign Large Blend	 +10.63%	 +14.33%	" $1,000"	 1.25%	 NTF	3
JEIRX	 JPMorgan International Equity Income R5	 Foreign Large Blend	 +10.93%	 +14.80%	 $0	 0.80%	  	3
JEIZX	 JPMorgan International Rsrch Enh Eq R2	 Foreign Large Blend	 +13.62%	 +21.57%	 $0	 0.85%	  	3
JEQIX	 Johnson Equity Income	 Large Blend	 +11.46%	 +18.09%	" $2,000"	 1.01%	  	3
JEVAX	 JHancock Emerging Markets A	 Diversified Emerging Mkts	 +18.76%	 +21.15%	" $1,000"	 1.47%	 NTF	3
JEVCX	 JHancock Emerging Markets C	 Diversified Emerging Mkts	 +18.33%	 +20.27%	" $1,000"	 2.17%	  	3
JEVNX	 JHancock Emerging Markets NAV	 Diversified Emerging Mkts	 +19.16%	 +21.79%	 $0	 1.02%	  	3
JFFAX	 JPMorgan SmartRetirementÂ® 2055 A 	 Target-Date 2055	 +10.23%	 +15.96%	 $500	 0.90%	 NTF	3
JFFPX	 JPMorgan SmartRetirementÂ® 2055 R3	 Target-Date 2055	 +10.13%	 +15.77%	 $0	 1.08%	  	3
JFFRX	 JPMorgan SmartRetirementÂ® 2055 R2	 Target-Date 2055	 +10.07%	 +15.62%	 $0	 1.33%	  	3
JFTAX	 JPMorgan Intrepid International A	 Foreign Large Blend	 +12.80%	 +20.05%	" $1,000"	 1.22%	 NTF	3
JGEZX	 JPMorgan International Equity Income R2	 Foreign Large Blend	 +10.55%	 +14.07%	 $0	 1.50%	  	3
JHLAX	 JHancock Multimanager Lifestyle Bal 5	 Allocation--50% to 70% Equity	 +8.07%	 +13.08%	 $0	 0.92%	  	3
JHLGX	 JHancock Multimanager Lifestyle Gr 5	 Allocation--70% to 85% Equity	 +10.01%	 +16.48%	 $0	 0.96%	  	3
JHLVX	 JHancock Fundamental Large Cap Core C	 Large Blend	 +9.55%	 +23.37%	" $1,000"	 1.81%	  	3
JIAAX	 JPMorgan Intrepid America A	 Large Blend	 +7.37%	 +16.24%	" $1,000"	 1.01%	 NTF	3
JIARX	 JPMorgan Intrepid America R5	 Large Blend	 +7.60%	 +16.75%	 $0	 0.55%	  	3
JIAZX	 JPMorgan Intrepid America R2	 Large Blend	 +7.22%	 +15.95%	 $0	 1.30%	  	3
JIBOX	 JHancock Multi-Index Lifestyle Bal 1	 Allocation--50% to 70% Equity	 +6.71%	 +10.72%	 $0	 0.74%	  	3
JICAX	 JPMorgan Intrepid Sustainable Equity A	 Large Blend	 +9.52%	 +19.64%	" $1,000"	 1.05%	 NTF	3
JICCX	 JPMorgan Intrepid Sustainable Equity C	 Large Blend	 +9.25%	 +19.02%	" $1,000"	 1.55%	  	3
JIECX	 JPMorgan International Equity C	 Foreign Large Blend	 +15.21%	 +21.59%	" $1,000"	 1.74%	  	3
JIICX	 JPMorgan Intrepid International C	 Foreign Large Blend	 +12.47%	 +19.45%	" $1,000"	 1.75%	  	3
JIIZX	 JPMorgan Intrepid International R2	 Foreign Large Blend	 +12.62%	 +19.78%	 $0	 1.50%	  	3
JILAX	 JHancock Multimanager Lifestyle Agrsv 1	 Allocation--85%+ Equity	 +11.74%	 +19.53%	 $0	 1.06%	  	3
JILBX	 JHancock Multimanager Lifestyle Bal 1	 Allocation--50% to 70% Equity	 +7.97%	 +13.03%	 $0	 0.97%	  	3
JILGX	 JHancock Multimanager Lifestyle Gr 1	 Allocation--70% to 85% Equity	 +9.93%	 +16.41%	 $0	 1.01%	  	3
JIOAX	 JPMorgan International Opportunities A	 Foreign Large Blend	 +13.11%	 +17.37%	" $1,000"	 1.22%	 NTF	3
JIORX	 JPMorgan SmartRetirementÂ® Blend 2020 R2	 Target-Date 2020	 +6.27%	 +8.57%	 $0	 1.04%	  	3
JISAX	 JHancock International Small Company A	 Foreign Small/Mid Blend	 +16.40%	 +23.63%	" $1,000"	 1.39%	 NTF	3
JLAEX	 JHancock Multimanager 2010 Lifetime R2	 Target-Date 2000-2010	 +5.63%	 +8.93%	 $0	 1.00%	  	3
JLAGX	 JHancock Multimanager 2010 Lifetime R4	 Target-Date 2000-2010	 +5.75%	 +9.10%	 $0	 0.75%	  	3
JLAHX	 JHancock Multimanager 2010 Lifetime R5	 Target-Date 2000-2010	 +5.86%	 +9.31%	 $0	 0.55%	  	3
JLAOX	 JHancock Multimanager 2010 Lifetime 1	 Target-Date 2000-2010	 +5.98%	 +9.30%	 $0	 0.55%	  	3
JLBAX	 JHancock Multimanager 2015 Lifetime A	 Target-Date 2015	 +6.30%	 +10.18%	" $1,000"	 0.96%	 NTF	3
JLBFX	 JHancock Multimanager 2015 Lifetime R3	 Target-Date 2015	 +6.20%	 +9.95%	 $0	 1.18%	  	3
JLBGX	 JHancock Multimanager 2015 Lifetime R4	 Target-Date 2015	 +6.32%	 +10.30%	 $0	 0.78%	  	3
JLBHX	 JHancock Multimanager 2015 Lifetime R5	 Target-Date 2015	 +6.52%	 +10.60%	 $0	 0.58%	  	3
JLBKX	 JHancock Multimanager 2015 Lifetime R2	 Target-Date 2015	 +6.21%	 +10.02%	 $0	 1.03%	  	3
JLBOX	 JHancock Multimanager 2015 Lifetime 1	 Target-Date 2015	 +6.52%	 +10.60%	 $0	 0.58%	  	3
JLCHX	 JHancock Fundamental Large Cap Core R3	 Large Blend	 +9.80%	 +23.93%	 $0	 1.35%	  	3
JLCRX	 JHancock Fundamental Large Cap Core R1	 Large Blend	 +9.76%	 +23.80%	 $0	 1.45%	  	3
JLDAX	 JHancock Multimanager 2020 Lifetime A	 Target-Date 2020	 +7.19%	 +11.98%	" $1,000"	 0.97%	 NTF	3
JLDDX	 JHancock Multimanager 2020 Lifetime R1	 Target-Date 2020	 +6.91%	 +11.54%	 $0	 1.30%	  	3
JLDFX	 JHancock Multimanager 2020 Lifetime R3	 Target-Date 2020	 +7.01%	 +11.65%	 $0	 1.20%	  	3
JLDGX	 JHancock Multimanager 2020 Lifetime R4	 Target-Date 2020	 +7.22%	 +12.22%	 $0	 0.80%	  	3
JLEAX	 JHancock Multimanager 2025 Lifetime A	 Target-Date 2025	 +8.28%	 +14.02%	" $1,000"	 1.00%	 NTF	3
JLEDX	 JHancock Multimanager 2025 Lifetime R1	 Target-Date 2025	 +8.02%	 +13.63%	 $0	 1.32%	  	3
JLEFX	 JHancock Multimanager 2025 Lifetime R3	 Target-Date 2025	 +8.12%	 +13.73%	 $0	 1.22%	  	3
JLEGX	 JHancock Multimanager 2025 Lifetime R4	 Target-Date 2025	 +8.30%	 +14.16%	 $0	 0.82%	  	3
JLEHX	 JHancock Multimanager 2025 Lifetime R5	 Target-Date 2025	 +8.40%	 +14.39%	 $0	 0.62%	  	3
JLEOX	 JHancock Multimanager 2025 Lifetime 1	 Target-Date 2025	 +8.40%	 +14.39%	 $0	 0.62%	  	3
JLFAX	 JHancock Multimanager 2030 Lifetime A	 Target-Date 2030	 +9.19%	 +15.82%	" $1,000"	 1.00%	 NTF	3
JLFDX	 JHancock Multimanager 2030 Lifetime R1	 Target-Date 2030	 +9.04%	 +15.53%	 $0	 1.32%	  	3
JLFFX	 JHancock Multimanager 2030 Lifetime R3	 Target-Date 2030	 +9.03%	 +15.53%	 $0	 1.22%	  	3
JLFGX	 JHancock Multimanager 2030 Lifetime R4	 Target-Date 2030	 +9.33%	 +16.09%	 $0	 0.82%	  	3
JLHAX	 JHancock Multimanager 2035 Lifetime A	 Target-Date 2035	 +9.91%	 +17.06%	" $1,000"	 1.01%	 NTF	3
JLHDX	 JHancock Multimanager 2035 Lifetime R1	 Target-Date 2035	 +9.83%	 +16.84%	 $0	 1.34%	  	3
JLHFX	 JHancock Multimanager 2035 Lifetime R3	 Target-Date 2035	 +9.72%	 +16.83%	 $0	 1.24%	  	3
JLHGX	 JHancock Multimanager 2035 Lifetime R4	 Target-Date 2035	 +10.05%	 +17.39%	 $0	 0.84%	  	3
JLHHX	 JHancock Multimanager 2035 Lifetime R5	 Target-Date 2035	 +10.15%	 +17.51%	 $0	 0.64%	  	3
JLHOX	 JHancock Multimanager 2035 Lifetime 1	 Target-Date 2035	 +10.15%	 +17.51%	 $0	 0.64%	  	3
JLIAX	 JHancock Multimanager 2040 Lifetime A	 Target-Date 2040	 +10.52%	 +17.99%	" $1,000"	 1.02%	 NTF	3
JLIDX	 JHancock Multimanager 2040 Lifetime R1	 Target-Date 2040	 +10.35%	 +17.55%	 $0	 1.34%	  	3
JLIEX	 JHancock Multimanager 2040 Lifetime R2	 Target-Date 2040	 +10.40%	 +17.86%	 $0	 1.09%	  	3
JLIFX	 JHancock Multimanager 2040 Lifetime R3	 Target-Date 2040	 +10.36%	 +17.69%	 $0	 1.24%	  	3
JLIGX	 JHancock Multimanager 2040 Lifetime R4	 Target-Date 2040	 +10.61%	 +18.18%	 $0	 0.84%	  	3
JLIOX	 JHancock Multimanager 2040 Lifetime 1	 Target-Date 2040	 +10.67%	 +18.35%	 $0	 0.64%	  	3
JLJAX	 JHancock Multimanager 2045 Lifetime A	 Target-Date 2045	 +10.43%	 +17.92%	" $1,000"	 1.02%	 NTF	3
JLJDX	 JHancock Multimanager 2045 Lifetime R1	 Target-Date 2045	 +10.26%	 +17.49%	 $0	 1.34%	  	3
JLJEX	 JHancock Multimanager 2045 Lifetime R2	 Target-Date 2045	 +10.40%	 +17.78%	 $0	 1.09%	  	3
JLJFX	 JHancock Multimanager 2045 Lifetime R3	 Target-Date 2045	 +10.34%	 +17.68%	 $0	 1.24%	  	3
JLJGX	 JHancock Multimanager 2045 Lifetime R4	 Target-Date 2045	 +10.60%	 +18.19%	 $0	 0.84%	  	3
JLJHX	 JHancock Multimanager 2045 Lifetime R5	 Target-Date 2045	 +10.66%	 +18.35%	 $0	 0.64%	  	3
JLJOX	 JHancock Multimanager 2045 Lifetime 1	 Target-Date 2045	 +10.67%	 +18.36%	 $0	 0.64%	  	3
JLKAX	 JHancock Multimanager 2050 Lifetime A	 Target-Date 2050	 +10.52%	 +17.93%	" $1,000"	 1.02%	 NTF	3
JLKDX	 JHancock Multimanager 2050 Lifetime R1	 Target-Date 2050	 +10.34%	 +17.62%	 $0	 1.35%	  	3
JLKEX	 JHancock Multimanager 2050 Lifetime R2	 Target-Date 2050	 +10.42%	 +17.84%	 $0	 1.10%	  	3
JLKFX	 JHancock Multimanager 2050 Lifetime R3	 Target-Date 2050	 +10.34%	 +17.68%	 $0	 1.25%	  	3
JLKGX	 JHancock Multimanager 2050 Lifetime R4	 Target-Date 2050	 +10.61%	 +18.14%	 $0	 0.85%	  	3
JLKLX	 JHancock Multimanager 2055 Lifetime A	 Target-Date 2055	 +10.57%	 +18.03%	" $1,000"	 1.02%	  	3
