Symbol	Name	Morningstar Category	NAV Return	NAV Return	Minimum Investment	Net Expense Ratio	No Transaction Fees	Morningstar Rating
FATTX	 American Funds 2045 Trgt Date Retire F1	 Target-Date 2045	 +10.64%	 +16.21%	 $250	 0.78%	 NTF	5
FAUTX	 American Funds 2040 Trgt Date Retire F1	 Target-Date 2040	 +10.52%	 +15.76%	 $250	 0.78%	 NTF	5
FBAKX	 FidelityÂ® Balanced K	 Allocation--50% to 70% Equity	 +8.62%	 +13.61%	 $0	 0.46%	  	5
FBATX	 American Funds 2010 Trgt Date Retire F2	 Target-Date 2000-2010	 +5.22%	 +6.98%	 $250	 0.45%	  	5
FBBTX	 American Funds 2015 Trgt Date Retire F2	 Target-Date 2015	 +5.59%	 +7.56%	 $250	 0.44%	  	5
FBCTX	 American Funds 2020 Trgt Date Retire F2	 Target-Date 2020	 +6.47%	 +8.82%	 $250	 0.46%	  	5
FBDTX	 American Funds 2025 Trgt Date Retire F2	 Target-Date 2025	 +7.53%	 +10.70%	 $250	 0.48%	  	5
FBETX	 American Funds 2030 Trgt Date Retire F2	 Target-Date 2030	 +9.04%	 +13.37%	 $250	 0.50%	  	5
FBFTX	 American Funds 2035 Trgt Date Retire F2	 Target-Date 2035	 +10.25%	 +15.42%	 $250	 0.51%	  	5
FBGTX	 American Funds 2040 Trgt Date Retire F2	 Target-Date 2040	 +10.63%	 +16.14%	 $250	 0.52%	  	5
FBHTX	 American Funds 2045 Trgt Date Retire F2	 Target-Date 2045	 +10.74%	 +16.48%	 $250	 0.52%	  	5
FBITX	 American Funds 2050 Trgt Date Retire F2	 Target-Date 2050	 +10.85%	 +16.59%	 $250	 0.53%	  	5
FBJTX	 American Funds 2055 Trgt Date Retire F2	 Target-Date 2055	 +10.88%	 +16.65%	 $250	 0.54%	  	5
FCAZX	 Franklin Corefolio Allocation Advisor	 Allocation--85%+ Equity	 +11.47%	 +20.94%	 $0	 0.79%	  	5
FCCTX	 American Funds 2020 Trgt Date Retire F3	 Target-Date 2020	 +6.54%	 +8.99%	 $250	 0.36%	  	5
FCETX	 American Funds 2030 Trgt Date Retire F3	 Target-Date 2030	 +9.18%	 +13.59%	 $250	 0.40%	  	5
FCGTX	 American Funds 2040 Trgt Date Retire F3	 Target-Date 2040	 +10.61%	 +16.10%	 $250	 0.43%	  	5
FCHTX	 American Funds 2045 Trgt Date Retire F3	 Target-Date 2045	 +10.72%	 +16.44%	 $250	 0.43%	  	5
FCJTX	 American Funds 2055 Trgt Date Retire F3	 Target-Date 2055	 +10.93%	 +16.73%	 $250	 0.44%	  	5
FDBTX	 American Funds 2015 Trgt Date Retire F3	 Target-Date 2015	 +5.58%	 +7.67%	 $250	 0.34%	  	5
FDDTX	 American Funds 2025 Trgt Date Retire F3	 Target-Date 2025	 +7.59%	 +10.77%	 $250	 0.38%	  	5
